"type","id","title","slug","url","modified","preliminary_group","indexability","canonical","internal_links","notes"
"page","146","Opere murarie e ripristini a Trieste","servizio-di-muratura-rinnova-la-tua-casa-con-competenza-e-creativita","https://triesteincostruzione.com/servizio-di-muratura-rinnova-la-tua-casa-con-competenza-e-creativita/","2026-08-14T11:06:28","muratura / ripristini","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"page","167","Perché Scegliere Noi?","perche-scegliere-noi","https://triesteincostruzione.com/perche-scegliere-noi/","2026-08-13T00:31:50","da classificare","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"page","219","Ristrutturazione appartamento a Trieste","ristrutturazione-interni","https://triesteincostruzione.com/ristrutturazione-interni/","2026-08-12T23:48:27","ristrutturazioni generali","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"page","260","Richiedi il Tuo Preventivo Personalizzato","richiedi-il-tuo-preventivo-personalizzato","https://triesteincostruzione.com/richiedi-il-tuo-preventivo-personalizzato/","2026-08-13T00:31:10","preventivo / progettazione","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS","verificare intento rispetto alle altre pagine preventivo"
"page","267","Politica sulla Privacy","politica-sulla-privacy","https://triesteincostruzione.com/politica-sulla-privacy/","2026-08-12T22:31:10","legale / sistema","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"page","345","Trasforma il tuo relax: da vasca a doccia in un click!","richiedi-il-tuo-preventivo-personalizzato-per-la-conversione-da-vasca-a-doccia","https://triesteincostruzione.com/richiedi-il-tuo-preventivo-personalizzato-per-la-conversione-da-vasca-a-doccia/","2026-08-13T00:31:30","bagni / docce","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS","verificare intento rispetto alle altre pagine preventivo"
"page","396","Ristrutturazione bagno a Trieste","ristrutturazione-bagno","https://triesteincostruzione.com/ristrutturazione-bagno/","2026-09-17T21:31:03","bagni / docce","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"page","431","preventivo pitturazione","preventivo-pitturazione","https://triesteincostruzione.com/preventivo-pitturazione/","2026-08-13T00:31:20","pittura / rasatura","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS","verificare intento rispetto alle altre pagine preventivo"
"page","496","Aziendale","aziendale","https://triesteincostruzione.com/aziendale/","2026-08-13T00:30:18","azienda / contatti","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"page","504","Trasformazione vasca in doccia a Trieste","504-2","https://triesteincostruzione.com/504-2/","2026-08-13T08:13:20","bagni / docce","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS","slug variante/sospetto da verificare"
"page","551","Bagno accessibile a Trieste: soluzioni per anziani e mobilità ridotta","creare-un-bagno-accessibile-soluzioni-e-prodotti-per-ogni-esigenza","https://triesteincostruzione.com/creare-un-bagno-accessibile-soluzioni-e-prodotti-per-ogni-esigenza/","2026-08-13T00:14:50","bagni / docce","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"page","574","Tinteggiare Casa: quanto ti costa?","tinteggiare-casa-quanto-ti-costa","https://triesteincostruzione.com/tinteggiare-casa-quanto-ti-costa/","2026-08-13T00:32:00","pittura / rasatura","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"page","581","Vasca o doccia per anziani a Trieste: sicurezza e accessibilità","perche-scegliere-una-doccia-al-posto-di-una-vasca-se-sei-anziano","https://triesteincostruzione.com/perche-scegliere-una-doccia-al-posto-di-una-vasca-se-sei-anziano/","2026-08-13T08:12:35","bagni / docce","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"page","586","Ristrutturazione bagno e detrazioni 2026: cosa verificare","ristrutturazionedel-bagno-sfruttare-il-bonus-bagno-2024","https://triesteincostruzione.com/ristrutturazionedel-bagno-sfruttare-il-bonus-bagno-2024/","2026-08-12T23:50:30","bagni / docce","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"page","591","Ristrutturazioni Complete a Trieste: Perché Scegliere la Nostra Azienda","ristrutturazioni-complete-a-trieste-perche-scegliere-la-nostra-azienda","https://triesteincostruzione.com/ristrutturazioni-complete-a-trieste-perche-scegliere-la-nostra-azienda/","2026-08-13T00:31:39","ristrutturazioni generali","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"page","604","Piatto doccia classico o filo pavimento a Trieste: quale scegliere?","piatto-doccia-classico-o-filo-pavimento-quale-scegliere-per-il-bagno-dei-tuoi-sogni","https://triesteincostruzione.com/piatto-doccia-classico-o-filo-pavimento-quale-scegliere-per-il-bagno-dei-tuoi-sogni/","2026-08-13T09:18:35","bagni / docce","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"page","796","Trieste In Costruzione","home-2","https://triesteincostruzione.com/home-2/","2026-08-13T00:29:55","legale / sistema","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS","slug variante/sospetto da verificare"
"page","799","MURATURA","muratura-2","https://triesteincostruzione.com/muratura-2/","2026-08-13T00:29:06","muratura / ripristini","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS","slug variante/sospetto da verificare"
"page","800","Cartongesso a Trieste","cartongesso-2","https://triesteincostruzione.com/cartongesso-2/","2026-08-14T11:06:15","cartongesso","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS","slug variante/sospetto da verificare"
"page","801","Servizio di Analisi e Eliminazione della Muffa","servizio-di-analisi-e-eliminazione-della-muffa-2","https://triesteincostruzione.com/servizio-di-analisi-e-eliminazione-della-muffa-2/","2026-08-13T00:29:35","muffa / umidità","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS","slug variante/sospetto da verificare"
"page","803","Servizio di Piastrellatura","servizio-di-piastrellatura-2","https://triesteincostruzione.com/servizio-di-piastrellatura-2/","2026-08-13T00:29:26","piastrelle / terrazzi","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS","slug variante/sospetto da verificare"
"page","804","Servizio di un posatura di cartongesso","servizio-di-un-posatore-di-cartongesso-2","https://triesteincostruzione.com/servizio-di-un-posatore-di-cartongesso-2/","2026-08-13T00:28:47","cartongesso","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS","slug variante/sospetto da verificare"
"page","805","Servizio di Muratura: Rinnova la Tua Casa con Competenza e Creatività!","servizio-di-muratura-rinnova-la-tua-casa-con-competenza-e-creativita-2","https://triesteincostruzione.com/servizio-di-muratura-rinnova-la-tua-casa-con-competenza-e-creativita-2/","2026-08-13T00:29:15","muratura / ripristini","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS","slug variante/sospetto da verificare"
"page","957","Edil Milan Stevic","957-2","https://triesteincostruzione.com/957-2/","2026-08-13T00:30:07","da classificare","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS","slug variante/sospetto da verificare"
"page","969","Ristrutturazioni a Trieste","969-2","https://triesteincostruzione.com/","2026-09-18T00:51:54","ristrutturazioni generali","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS","slug variante/sospetto da verificare"
"page","978","Come lavoriamo nelle ristrutturazioni a Trieste","come-lavoriamo","https://triesteincostruzione.com/come-lavoriamo/","2026-08-12T23:46:55","ristrutturazioni generali","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"page","988","Come scegliere un’impresa edile a Trieste","perche-scegliere-noi-2","https://triesteincostruzione.com/perche-scegliere-noi-2/","2026-08-12T23:47:38","da classificare","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS","slug variante/sospetto da verificare"
"page","990","Contatti Edil Milan Stevic","contatto-diretto","https://triesteincostruzione.com/contatto-diretto/","2026-09-17T21:45:02","azienda / contatti","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"page","996","Servizi edili a Trieste","servizi-principali","https://triesteincostruzione.com/servizi-principali/","2026-08-14T11:06:09","da classificare","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"page","1022","Client Portal","clients","https://triesteincostruzione.com/clients/","2026-08-13T00:13:45","legale / sistema","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"page","1030","Posa SPC e LVT a Trieste","posa-spc-e-lvt-a-trieste-per-appartamenti-e-ambienti-interni","https://triesteincostruzione.com/posa-spc-e-lvt-a-trieste-per-appartamenti-e-ambienti-interni/","2026-08-14T11:06:18","pavimenti SPC / LVT","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"page","1082","Preventivo Trieste","preventivo-trieste","https://triesteincostruzione.com/preventivo-trieste/","2026-08-13T00:31:01","preventivo / progettazione","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS","verificare intento rispetto alle altre pagine preventivo"
"page","1191","Impresa edile a Trieste","edil-milan-stevic","https://triesteincostruzione.com/edil-milan-stevic/","2026-08-14T11:06:37","azienda / contatti","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"page","1200","Lavori realizzati a Trieste","lavori-realizzati-a-trieste-bagni-spc-cartongesso-massetti-edil-milan-stevic","https://triesteincostruzione.com/lavori-realizzati-a-trieste-bagni-spc-cartongesso-massetti-edil-milan-stevic/","2026-09-17T16:13:40","pavimenti SPC / LVT","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"page","1283","Simulazione preventivo bagno online a Trieste","quiz-bagno-trieste","https://triesteincostruzione.com/quiz-bagno-trieste/","2026-09-17T23:49:13","bagni / docce","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"page","1288","Quiz scelta colore pareti: trova la tonalità giusta","quiz-scelta-colore-pareti","https://triesteincostruzione.com/quiz-scelta-colore-pareti/","2026-09-18T00:29:51","pittura / rasatura","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"page","1295","Quanto costa tinteggiare casa? Fai il quiz","quanto-costa-tinteggiare-casa-trieste","https://triesteincostruzione.com/quanto-costa-tinteggiare-casa-trieste/","2026-09-18T00:30:10","pittura / rasatura","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"page","1296","Il tuo bagno è davvero da rifare?","quiz-ristrutturazione-bagno-trieste","https://triesteincostruzione.com/quiz-ristrutturazione-bagno-trieste/","2026-09-18T00:25:00","bagni / docce","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"page","1302","Da dove potrebbe arrivare questa umidità?","quiz-umidita-muffa-trieste","https://triesteincostruzione.com/quiz-umidita-muffa-trieste/","2026-09-18T00:24:27","muffa / umidità","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"page","1306","Le piastrelle del tuo terrazzo sono solo rovinate o c’è qualcosa da verificare?","quiz-piastrelle-rovinate-terrazzo-trieste","https://triesteincostruzione.com/quiz-piastrelle-rovinate-terrazzo-trieste/","2026-09-18T00:26:07","piastrelle / terrazzi","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"page","1308","Puoi davvero posare le nuove piastrelle sopra quelle vecchie?","quiz-posa-su-posa-piastrelle-trieste","https://triesteincostruzione.com/quiz-posa-su-posa-piastrelle-trieste/","2026-09-18T00:26:43","piastrelle / terrazzi","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"page","1320","Il tuo pavimento è davvero pronto per un nuovo SPC o laminato?","quiz-pavimento-spc-laminato-trieste","https://triesteincostruzione.com/quiz-pavimento-spc-laminato-trieste/","2026-09-18T00:25:32","pavimenti SPC / LVT","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"page","1322","Basta pitturare o le tue pareti hanno bisogno di rasatura?","quiz-pittura-o-rasatura-pareti-trieste","https://triesteincostruzione.com/quiz-pittura-o-rasatura-pareti-trieste/","2026-09-18T00:23:41","pittura / rasatura","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"page","1326","Il tuo pavimento è davvero pronto per un nuovo SPC o laminato?","il-tuo-pavimento-e-davvero-pronto-per-un-nuovo-spc-o-laminato","https://triesteincostruzione.com/il-tuo-pavimento-e-davvero-pronto-per-un-nuovo-spc-o-laminato/","2026-08-13T00:32:10","pavimenti SPC / LVT","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"page","1330","Puoi ristrutturare casa continuando a viverci dentro?","quiz-ristrutturare-casa-vivendoci-trieste","https://triesteincostruzione.com/quiz-ristrutturare-casa-vivendoci-trieste/","2026-09-18T00:27:13","ristrutturazioni generali","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"page","1364","Preventivo ristrutturazione Trieste","richiedi-preventivo-ristrutturazione-trieste","https://triesteincostruzione.com/richiedi-preventivo-ristrutturazione-trieste/","2026-09-18T00:56:43","preventivo / progettazione","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS","verificare intento rispetto alle altre pagine preventivo"
"page","1409","Cookie Policy","cookie-policy","https://triesteincostruzione.com/cookie-policy/","2026-08-12T22:53:39","legale / sistema","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"page","1714","Progettazione ristrutturazioni a Trieste | Computo e preventivo","progettazione-lavori-ristrutturazione-trieste","https://triesteincostruzione.com/progettazione-lavori-ristrutturazione-trieste/","2026-09-18T00:51:21","preventivo / progettazione","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"post","190","Reparto Tuttofare","reparto-tuttofare","https://triesteincostruzione.com/2024/01/27/reparto-tuttofare/","2024-01-27T14:37:42","da classificare","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"post","902","Come Sopravvivere alla Tinteggiatura della Tua Casa: 10 Consigli per Ridurre il Disagio!","come-sopravvivere-alla-tinteggiatura-della-tua-casa-10-consigli-per-ridurre-il-disagio","https://triesteincostruzione.com/2024/09/02/come-sopravvivere-alla-tinteggiatura-della-tua-casa-10-consigli-per-ridurre-il-disagio/","2026-08-15T09:13:18","pittura / rasatura","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"post","906","9 Errori da Evitare Durante una Ristrutturazione Casa: Non Fare Anche Tu Questi Sbagli!","10-errori-da-evitare-durante-una-ristrutturazione-casa-non-fare-anche-tu-questi-sbagli","https://triesteincostruzione.com/2024/09/02/10-errori-da-evitare-durante-una-ristrutturazione-casa-non-fare-anche-tu-questi-sbagli/","2026-08-15T09:13:12","ristrutturazioni generali","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"post","1037","Quanto costa ristrutturare casa a Trieste nel 2026","quanto-costa-ristrutturare-casa-trieste","https://triesteincostruzione.com/2026/03/15/quanto-costa-ristrutturare-casa-trieste/","2026-08-15T09:13:23","ristrutturazioni generali","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"post","1044","Cos’è il pavimento SPC e quando conviene | Guida Trieste","cose-il-pavimento-spc","https://triesteincostruzione.com/2026/03/15/cose-il-pavimento-spc/","2026-08-14T20:55:55","pavimenti SPC / LVT","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"post","1049","Differenza tra SPC e LVT: quale pavimento scegliere a Trieste","differenza-spc-lvt-trieste","https://triesteincostruzione.com/2026/03/15/differenza-spc-lvt-trieste/","2026-08-14T20:55:47","pavimenti SPC / LVT","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"post","1054","SPC sopra le piastrelle a Trieste: quando si può fare davvero","spc-sopra-piastrelle-trieste","https://triesteincostruzione.com/2026/03/15/spc-sopra-piastrelle-trieste/","2026-08-14T21:36:40","piastrelle / terrazzi","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"post","1110","Muffa in casa a Trieste: cause e come eliminarla davvero","muffa-in-casa-eliminazione-trieste","https://triesteincostruzione.com/2026/03/25/muffa-in-casa-eliminazione-trieste/","2026-08-14T21:36:31","muffa / umidità","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"post","1219","Infiltrazioni dal terrazzo: cause, danni e soluzioni a Trieste","infiltrazioni-dal-terrazzo-cause-danni-e-soluzioni-a-trieste","https://triesteincostruzione.com/2026/07/28/infiltrazioni-dal-terrazzo-cause-danni-e-soluzioni-a-trieste/","2026-08-15T09:13:04","piastrelle / terrazzi","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"post","1240","Posa su posa piastrelle: preparazione corretta | Trieste","posa-su-posa-piastrelle","https://triesteincostruzione.com/2026/08/07/posa-su-posa-piastrelle/","2026-08-15T09:13:27","piastrelle / terrazzi","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"post","1248","Tipi di pittura: quale serve davvero, stanza per stanza","tipi-di-pittura-come-scegliere","https://triesteincostruzione.com/2026/08/09/tipi-di-pittura-come-scegliere/","2026-08-15T09:12:59","pittura / rasatura","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"post","1249","Un tocco di colore in casa: come scegliere la tinta giusta","come-scegliere-colore-pareti-casa","https://triesteincostruzione.com/2026/08/09/come-scegliere-colore-pareti-casa/","2026-08-15T09:12:54","pittura / rasatura","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"post","1348","FVG, 30 milioni per l’efficienza energetica: contributi fino al 50% per serramenti e isolamento","contributi-efficientamento-energetico-fvg-2026","https://triesteincostruzione.com/2026/08/12/contributi-efficientamento-energetico-fvg-2026/","2026-08-15T09:12:07","da classificare","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"post","1352","Una piastrella che suona vuota va tolta? Cosa controllare prima di intervenire","piastrella-suona-vuota-cosa-fare","https://triesteincostruzione.com/2026/08/12/piastrella-suona-vuota-cosa-fare/","2026-08-15T09:12:12","piastrelle / terrazzi","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"post","1357","Perché le fughe del terrazzo si aprono? Cosa può significare","fughe-terrazzo-si-aprono-cosa-significa","https://triesteincostruzione.com/2026/08/12/fughe-terrazzo-si-aprono-cosa-significa/","2026-08-15T09:11:55","piastrelle / terrazzi","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"post","1362","Pavimento non in piano a Trieste: quando serve l’autolivellante prima di SPC o piastrelle","autolivellante-pavimento-trieste","https://triesteincostruzione.com/2026/08/12/autolivellante-pavimento-trieste/","2026-08-15T09:12:01","piastrelle / terrazzi","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"post","1363","Controsoffitto in cartongesso a Trieste: quando conviene davvero?","controsoffitto-cartongesso-trieste","https://triesteincostruzione.com/2026/08/12/controsoffitto-cartongesso-trieste/","2026-08-15T09:11:42","cartongesso","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
"post","1367","Crepe nei muri a Trieste: quando basta una riparazione e quando serve un tecnico?","crepe-muri-trieste","https://triesteincostruzione.com/2026/08/12/crepe-muri-trieste/","2026-08-15T09:11:49","muratura / ripristini","da verificare su HTML pubblico","da verificare su HTML pubblico","da verificare con scansione EMS",""
